slope,trainer,bestvalid,batchsize,esminslope,pcadim,dataset,time,validaucroctag,validprecat3,seed,timestring,testprecat3,validcost,weightsdir,savefeatures,fixedweights,espatience,currentlr,jobman_sql_condorstdout,testaucrocclip,aggtype,jobman_sql_condorstderr,jobman_sql_hostworkdir,mlphidden,testsize,testaucroctag,poolingtype,overlap,id,filtershapes,valideverynbatch,jobman_runtime,bestbatch,lr,esminbatch,outputfolder,trainingepochs,norm,jobman_endtime,jobman_sql_starttime,jobman_sql_condororigiwd,jobman_starttime,jobman_sql_priority,jobman_sql_condorslot,l1,lrinertia,agglen,trainsize,featuresh5,validbatchsize,fullyconnected,randompatches,maxtime,model,jobman_status,nblayers,nbfilters,jobman_experiment,validsize,esmeanover,testbatchsize,forcetrain,jobman_sql_hostname,poolingfactors,complexity,l2,jobman_hash,batchcount,debug,fulldataset,classifier,jobman_sql_condorglobaljobid
-2.74241138902e-07,FeatureClassifier,0.867999534764,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,4626.27179599,0.867999534764,0.493209876543,1234,1:17:06,0.442392531035,-10.2409304219,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/586,,1,10,0.0282835941762,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/9.out,0.934184849855,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/9.err,/opt/condor-7.4.2/local.brams0d/execute/dir_25302/tmpddmXfP,1000,-1,0.834679769665,max,2,586,[],250,5423.40595317,80750,0.0282835944297,2500,.,0,pca,1303942207.64,1303936783.64,/data/lisa/exp/hamelphi,1303936784.23,1.0,3,0.0,0.0,176,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0d.iro.umontreal.ca,[],521160,5.69317655186e-06,1563235231632156379,80751,0,0,mlp,maggie46.iro.umontreal.ca#10492.9#1303936716
-6.70071715021e-08,FeatureClassifier,0.870890481199,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,2674.40837193,0.870890481199,0.48621399177,1234,0:44:34,0.435723812455,-10.2140624788,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/587,,1,10,0.0866382345557,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/19.out,0.933676470643,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/19.err,/opt/condor-7.4.2/local.brams0f/execute/dir_7244/tmplLcGfd,1000,-1,0.83663970672,max,2,587,[],250,6126.03902888,40750,0.086638238084,2500,.,0,pca,1303942911.05,1303936784.52,/data/lisa/exp/hamelphi,1303936785.01,1.0,5,0.0,0.0,176,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0f.iro.umontreal.ca,[],521160,1.45644610283e-08,-8455349747192706693,40751,0,0,mlp,maggie46.iro.umontreal.ca#10492.19#1303936716
-2.87446597713e-07,FeatureClassifier,0.872639672773,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,8548.74310184,0.872639672773,0.486419753086,1234,2:22:28,0.43341540987,-10.2137006418,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/588,,1,10,0.0895844623446,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/10.out,0.933276203584,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/10.err,/opt/condor-7.4.2/local.brams0e/execute/dir_26612/tmpSx3yIg,1000,-1,0.836464095072,max,2,588,[],250,9580.15249395,44250,0.0895844589871,2500,.,0,pca,1303946378.39,1303936797.41,/data/lisa/exp/hamelphi,1303936798.24,1.0,2,0.0,0.0,188,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0e.iro.umontreal.ca,[],521160,1.02615976978e-09,4845713589638409152,44251,0,0,mlp,maggie46.iro.umontreal.ca#10492.10#1303936716
-1.3200944182e-07,FeatureClassifier,0.87337772596,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,8941.62495804,0.87337772596,0.485802469136,1234,2:29:01,0.432543346671,-10.2080970046,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/598,,1,10,0.0806345194578,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/18.out,0.931111878491,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/18.err,/opt/condor-7.4.2/local.brams0e/execute/dir_26615/tmpHKMSfH,1000,-1,0.834347491496,max,2,598,[],250,10817.275069,52500,0.0806345159158,2500,.,0,pca,1303947603.98,1303936786.06,/data/lisa/exp/hamelphi,1303936786.7,1.0,6,0.0,0.0,188,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0e.iro.umontreal.ca,[],521160,6.42759627968e-06,-8341342770778307144,52501,0,0,mlp,maggie46.iro.umontreal.ca#10492.18#1303936716
1.12860621035e-07,FeatureClassifier,0.868704219896,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,5494.44059587,0.868704219896,0.486625514403,1234,1:31:34,0.438186108546,-10.1969662007,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/600,,1,10,0.0210810806602,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/4.out,0.933516565366,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/4.err,/opt/condor-7.4.2/local.brams0a/execute/dir_27765/tmp2AKDFB,1000,-1,0.83322637506,max,2,600,[],250,6916.8958571,101500,0.0210810801376,2500,.,0,pca,1303943707.95,1303936790.19,/data/lisa/exp/hamelphi,1303936791.06,1.0,4,0.0,0.0,178,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0a.iro.umontreal.ca,[],521160,1.44981048689e-07,1781498652516865404,101501,0,0,mlp,maggie46.iro.umontreal.ca#10492.4#1303936716
4.03446348545e-08,FeatureClassifier,0.870656377908,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,3073.00846887,0.870656377908,0.494238683128,1234,0:51:13,0.439827639274,-10.110490952,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/604,,1,10,0.0475525148213,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/2.out,0.933980328797,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_16-38-29.405118/2.err,/opt/condor-7.4.2/local.brams0a/execute/dir_27762/tmpEAEVrj,1000,-1,0.835983965859,max,2,604,[],250,4124.84833217,53750,0.0475525156009,2500,.,0,pca,1303940921.2,1303936795.52,/data/lisa/exp/hamelphi,1303936796.35,1.0,2,0.0,0.0,176,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0a.iro.umontreal.ca,[],521160,0.00062235053101,-5418824998329642978,53751,0,0,mlp,maggie46.iro.umontreal.ca#10492.2#1303936716
3.57780448352e-08,FeatureClassifier,0.870001113701,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,3844.10799885,0.870001113701,0.493827160494,1234,1:04:04,0.436544577819,-10.2336236106,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/606,,1,10,0.0344867222011,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_17-30-06.766641/4.out,0.932355439982,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-27_17-30-06.766641/4.err,/opt/condor-7.4.2/local.brams0a/execute/dir_31201/tmp0lsfxw,1000,-1,0.834112648277,max,2,606,[],250,4812.88313293,82500,0.0344867209867,2500,.,0,pca,1303944663.36,1303939850.22,/data/lisa/exp/hamelphi,1303939850.47,1.0,7,0.0,0.0,194,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams0a.iro.umontreal.ca,[],521160,0.000218852258872,-482213496936292633,82501,0,0,mlp,maggie46.iro.umontreal.ca#10493.4#1303939813
-1.03670880779e-07,FeatureClassifier,0.867443660838,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,6290.07656002,0.867443660838,0.491563786008,1234,1:44:50,0.442392531035,-10.1946228934,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/613,,1,10,0.021435175091,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/9.out,0.934287876947,mean_var_max,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/9.err,/opt/condor-7.4.2/local.brams06/execute/dir_8157/tmpqMYYHr,1000,-1,0.834489119954,max,2,613,[],250,10234.480418,107250,0.0214351743514,2500,.,0,pca,1304032790.61,1304022555.77,/data/lisa/exp/hamelphi,1304022556.13,1.0,2,0.0,0.0,162,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams06.iro.umontreal.ca,[],521160,2.64392009001e-09,-2119076459643935470,107251,0,0,mlp,maggie46.iro.umontreal.ca#10510.9#1304022515
1.08466067631e-07,FeatureClassifier,0.877968924787,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,4616.70482993,0.877968924787,0.500823045267,1234,1:16:56,0.449984610649,-10.0181899306,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/636,,1,10,0.0363332442939,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/4.out,0.936539354533,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/4.err,/opt/condor-7.4.2/local.brams05/execute/dir_12353/tmpDTSP-Q,1000,-1,0.841205070264,max,2,636,[],250,6161.62658811,62500,0.0363332432496,2500,.,0,pca,1304028711.28,1304022549.3,/data/lisa/exp/hamelphi,1304022549.65,1.0,2,0.0,0.0,164,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams05.iro.umontreal.ca,[],641160,3.25845475016e-05,2428270698179621448,62501,0,0,mlp,maggie46.iro.umontreal.ca#10510.4#1304022515
1.13242282823e-07,FeatureClassifier,0.874218008832,10,0,120,/Tmp/hamelphi/tagatune/tagatune_128_30sec.h5,6003.57469487,0.874218008832,0.490740740741,1234,1:40:03,0.438545193393,-10.1450584435,/data/gamme/exp/hamelphi/hamelphi_db/agg_feat2/637,,1,10,0.0220317114145,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/7.out,0.935190137452,mean_var_max_min,LOGS.NOBACKUP/jobman_sql_postgres___hamelphi_gershwin_hamelphi_db_agg_feat2__data_gamme_exp_hamelphi_2011-04-28_16-28-29.004660/7.err,/opt/condor-7.4.2/local.brams05/execute/dir_12354/tmpGOZ7rn,1000,-1,0.838260476916,max,2,637,[],250,7134.7973671,91500,0.0220317113199,2500,.,0,pca,1304029690.33,1304022555.1,/data/lisa/exp/hamelphi,1304022555.53,1.0,3,0.0,0.0,186,-1,features.h5,20,0,0,-1.0,aggregator,2,0,[],projects.dcrbm.train_fn.train,-1,2500,18,0,brams05.iro.umontreal.ca,[],641160,1.88669047739e-05,8732327153956418936,91501,0,0,mlp,maggie46.iro.umontreal.ca#10510.7#1304022515
